logo_filename,awardee_name,location,award_type,award_title,award_summary,doe_funding,nondoe_costshare,total_value,round_awarded,status,abstract_filename,Latitude,Longitude,
General Atomics_Larger.jpg,General Atomics,"San Diego, CA",Tier III: Regulatory Assistance Grant,Pre-Application License Review of Silicon Carbide Composite Clad Uranium Carbide Fuel for Long-Life Gas-Cooled Fast Reactor Cores,"Determines requirements for licensing SiC/UC for use in a gas-cooled fast reactor long-life core, including the experimental database, validated performance and safety codes, and approach to licensing a prototype core.","$380,655 ","$95,164 ","$475,819 ",2018 - Round 1,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/General%20Atomics%20Tier%20III_IND%20FOA%20FY2018%20Summary-Abstract%20REG-18-14985.pdf,32.724103,-117.170912,
AMS.JPG,Analysis and Measurement Services Corporation,"Knoxville, TN",Tier III: Regulatory Assistance Grant,Resolving the Regulatory Issues with Implementation of Online Monitoring Technologies to Extend the Calibration Intervals of Process Instruments in Nuclear Power Plants,"Compiles, analyzes, and documents the state-of-the-art in online monitoring technology for online calibration verification of pressure, level, and flow transmitters in nuclear power plants.","$499,906 ","$125,000 ","$624,906 ",2018 - Round 1,Active,https://www.energy.gov/sites/prod/files/2018/07/f53/Analysis_IND%20FOA%20FY2018%20Summary-Abstract%20REG-18-15752.pdf,36.032334,-83.884804,
SMR-LLC.png,"SMR, LLC","Camden, NJ",Tier I: First of a Kind Nuclear Demonstration Readiness Project,Integral and Separate Effects Test Program for the Investigation and Validation of Passive Safety System Performance of SMRs,"Develops a uniquely configurable set of testing platforms to demonstrate SMR passive safety system performance, accelerate the SMR-160 and other SMR designs to market, and help license these designs with the U.S. Nuclear Regulatory Commission and international regulators.","$1,624,729 ","$1,624,729 ","$3,249,458 ",2018 - Round 3,Active,https://www.energy.gov/sites/prod/files/2018/12/f58/SMR-LLC%20IND%20FOA%20FY2018%20Summary-Abstract%20FKD-18-16160.pdf,39.94526,-75.11913,
AMS_CORPORATION.png,Analysis and Measurement Services Corporation,"Knoxville, TN",Tier II: Advanced Reactor Development Project,Development of Cable Aging Acceptance Criteria for Nuclear Facilities,"Develops acceptance criteria for mechanical, electrical, thermal, and chemical condition monitoring tests that trend with age-related degradation of electrical cables.","$2,812,547 ","$703,137 ","$3,515,684 ",2018 - Round 3,Active,https://www.energy.gov/sites/prod/files/2018/12/f58/AMS%20CORP-IND%20FOA%20FY2018%20Summary-Abstract%20ARD-18-16161_0.pdf,36.032334,-83.884804,
EXELON_GENERATION.png,Exelon Generation,"Kennett Square, PA",Tier II: Advanced Reactor Development Project,Modeling and Analysis of Exelon BWRs for Eigenvalue & Thermal Limits Predictability,"Provides for a deeper understanding of BWR core behavior (including Exelon 's 15 BWRs) using VERA.  This will lead to improved predictions for BWRs including reactivity and thermal margins, which has a direct, positive economic impact in terms of cycle energy production and fuel costs. ","$5,000,000 ","$1,740,000 ","$6,740,000 ",2018 - Round 3,Cancelled,https://www.energy.gov/sites/prod/files/2018/12/f58/EXELON%20GENERATION%20IND%20FOA%20FY2019%20Summary-Abstract%20FKD-18-16164.pdf,39.84658,-75.71162,
EPRI-INC.png,"Electric Power Research Institute, Inc.","Palo Alto, CA",Tier II: Advanced Reactor Development Project,Establishing Modular In-Chamber Electron Beam Welding,"Identifies, develops, and demonstrates PM-HIP, EBW (in a large chamber), and diode laser cladding at a scale sufficient to illustrate that the technologies are viable and could provide considerable cost savings during construction. Each of these technologies exhibits the potential to significantly change the way reactors are manufactured and fabricated, while providing cost savings, quality and safety.","$2,925,057 ","$731,265 ","$3,656,322 ",2018 - Round 3,Active,https://www.energy.gov/sites/prod/files/2018/12/f58/EPRI-INC%20IND%20FOA%20FY2018%20Summary-Abstract%20ARD-18-16166.pdf,37.444122,-122.149915,
PKMJ_TECHNICAL_SERVICES.png,PKMJ Technical Services Inc. D/B/A Rolls-Royce ,"Moon Township, PA",Tier II: Advanced Reactor Development Project,Integrated Risk-Informed Condition Based Maintenance Capability and Automated Platform,"Development and pilot implementation of a fully integrated risk-informed condition based maintenance capability, on an automated platform.  The key outcome of this project, when implemented, is significantly reduced O&M costs associated with time-based maintenance, across the U.S. nuclear fleet.  ","$3,567,190 ","$891,798 ","$4,458,988 ",2018 - Round 3,Active,https://www.energy.gov/sites/prod/files/2018/12/f58/PKMJ%20TECHNICAL%20SERVICES%20IND%20FOA%20FY2018%20Summary-Abstract%20ARD-18-16173.pdf,40.50523,-80.20728,
Terrestrial_Energy_USA.png,"Terrestrial Energy USA, Inc","New York, New York",Tier III: Regulatory Assistance Grant,TEUSA-USNRC Pre-Licensing Activities for the IMSR&reg;,Conducts pre-application interactions with the US NRC to advance the progress of licensing the Integral Molten Salt Reactor (IMSR&reg;).  ,"$499,232 ","$124,808 ","$624,040 ",2018 - Round 3,Active,https://www.energy.gov/sites/prod/files/2018/12/f58/TERRESTRIAL%20ENERGY%20-%20IND%20FOA%20FY2018%20Summary-Abstract%20REG-18-16156.pdf,40.71455,-74.00714,
Westinghouse.png,Westinghouse Electric Corp LLC,"Cranberry Township, PA",Tier I: First of a Kind Nuclear Demonstration Readiness Project,eVinci (TM) Micro Reactor Nuclear Demonstration Unit Readiness Project,"The deployment of a cost competitive, reliable and robust energy source could create a paradigm shift in how the global grids operate and provide energy resilience needed in electricity and energy sources for military, residential, commercial and industrial users. The scope of this project is for Westinghouse and its team to prepare for the Nuclear Demonstration Unit (NDU) of the eVinci micro reactor through design, analysis, testing and licensing to manufacture, site and test the NDU by 2022.","$12,879,797 ","$15,675,350 ","$28,555,147 ",2019 - Round 1,Active,https://www.energy.gov/sites/prod/files/2019/04/f61/Westinghouse%20FY2019-1%20Summary-Abstract%20FKD-19-1-16340.pdf,40.69894,-80.10766,
Dirac_Solutions.png,Dirac Solutions Inc.,"Pleasonton, CA",Tier II: Advanced Reactor Development Project,Passive Radio Frequency Tags and Sensors for Process Monitoring in Advanced Reactors,"The objectives for this proposed work are to develop and commercialize next generation specialized wireless sensing and monitoring passive and semi-passive tags integrated with sensors for the remote process monitoring of advanced reactors. The advantage of the proposed RF power harvesting/switching is that the sensors will have more flexibility regarding placement within the reactors, and potentially greater reliability and capability.","$1,000,000 ","$250,000 ","$1,250,000 ",2019 - Round 1,Active,https://www.energy.gov/sites/prod/files/2019/04/f61/Dirac%20FY2019-1%20Summary-Abstract%20ARD-19-1-16359.pdf,37.65819,-121.87713,
Kairos_Power.png,"Kairos Power, LLC","Alameda, CA",Tier II: Advanced Reactor Development Project,Modeling and Simulation Development Pathways to Accelerate KP-FHR Licensing,"Works to close existing knowledge gaps in areas of detection, characterization, and localization of differing stressors on reactor cable systems. ","$5,000,000 ","$5,112,519 ","$10,112,519 ",2019 - Round 1,Active,https://www.energy.gov/sites/prod/files/2019/04/f61/Kairos%20FY2019-1%20Summary-Abstract%20ARD-19-1-17578.pdf,37.76683,-122.2453,
Kairos_Power.png,"Kairos Power, LLC","Alameda, CA",Tier III: Regulatory Assistance Grant,Pre-Application Licensing Report on the Development of a Mechanistic Source Term Methodology for the Kairos Power Fluoride Cooled High Temperature Reactor (KP-FHR),"Kairos Power proposes to develop a mechanistic source term for the KP-FHR design including consideration of radionuclides generated and transported in the fuel particle and the barriers to release for licensing basis event analyses. The methodology leverages the TRISO based fuels and DOE sponsored development work for advanced reactors (AGR fuel testing, LMP, and code development). The methodology will be documented in a licensing report for NRC review and evaluation.","$500,000 ","$203,957 ","$703,957 ",2019 - Round 1,Active,https://www.energy.gov/sites/prod/files/2019/04/f61/Kairos%20FY2019-1%20Summary-Abstract%20REG-19-1-17597.pdf,37.76683,-122.2453,
Utilities Service Alliance.png,"Utilities Service Alliance, Inc. ","Overland Park, KA",Tier II: Advanced Reactor Development Project,Advanced Remote Monitoring,"Utilities Service Alliance, Inc. will research, develop, and deploy automation and advanced remote monitoring technology into the United States nuclear fleet to achieve economic viability while maintaining or improving safety and reliability.","$9,183,255 ","$4,081,445 ","$13,264,700 ",2019 - Round 2,Active,https://www.energy.gov/sites/prod/files/2019/06/f64/SC%20Solutions%20FY2019-2%20Summary-Abstract-REG-19-2-18309.pdf,38.894822,-94.688503,
STP Nuclear Operating Company.png,STP Nuclear Operating Company,"Wadsworth, TX",Tier II: Advanced Reactor Development Project,STPNOC FIRE PRA 2019,STP Nuclear Operating Company will develop and implement advanced Fire PRA modeling techniques that will remove existing conservatism and lead to realistic models to be used in the nuclear industry.,"$942,477 ","$235,619 ","$1,178,096 ",2019 - Round 2,Active,https://www.energy.gov/sites/prod/files/2019/06/f64/STP%20Nuclear%20Operating%20Company%20FY2019-2%20Summary-Abstract%20ARD-19-2-17979.pdf,28.835402,-95.934291,
SC Solutions.png,SC Solutions ,"Sunnyvale, CA",Tier III: Regulatory Assistance Grant,Software Verification and Validation Guidelines for Nonlinear Soil-Structure Interaction Analysis to Enable Cost-Effective Advanced Reactor Design,SC Solutions will develop a nonlinear soil-structure interaction analysis software verification and validation guidance document as a critical tool to facilitate cost reductions in nuclear plant licensing and construction.,"$470,483 ","$117,621 ","$588,104 ",2019 - Round 2,Active,https://www.energy.gov/sites/prod/files/2019/06/f64/Utilities%20Service%20Alliance%20FY2019-2%20Summary-Abstract%20ARD-19-2-17934.pdf,37.374894,-122.03032,
FirstEnergy_Solutions.png,FirstEnergy Solutions Corporation,"Akron, OH",Tier II: Advanced Reactor Development Project,LWR Integrated Energy Systems Interface Technology Development & Demonstration,FirstEnergy Solutions Corporation will develop a light water reactor (LWR) hybrid energy systems. The proposed project installs an electrolysis (LTE) unit at Davis-Besse Nuclear Power Station. Major interfaces required for LWR hybrid operations (e.g. dynamic controls to apportion power output between the electrical grid and LTE unit) are addressed. A final report describing outcomes and business case opportunities will be shared with partners and third parties interested in LWR hybrid energy systems.,"$9,184,229 ","$2,299,391 ","$11,483,620 ",2019 - Round 3,Negotiating Award Terms,https://www.energy.gov/sites/prod/files/2019/12/f70/FirstEnergy_Summary-Abstract.pdf,41.08432,-81.51432,
BlueWade_Capital.png,"Blue Wave Capital and Consulting, DBA Blue Wave AI Labs","Celebration, FL",Tier II: Advanced Reactor Development Project,Application of Machine Learning for Enhanced Diagnostic and Prognostic Capabilities of Nuclear Power Plant Assets,"Blue Wave Capital and Consulting, DBA Blue Wave AI Labs will develop and provide Machine Learning solutions to improve and extend diagnostic and prognostic capabilities for predictive maintenance in nuclear plants. These solutions will integrate vast amounts of structured and unstructured historical data from ?15 boiling water reactors (BWRs), collected over multiple fuel cycles, in order to capture the complete operational and dynamic environment of plant components.","$5,476,400 ","$1,520,000 ","$6,996,400 ",2019 - Round 3,Active,https://www.energy.gov/sites/prod/files/2019/12/f70/Blue%20Wave%20Summary-Abstract.pdf,28.31613,-81.54551,
TerraPower.png,"TerraPower, LLC","Bellevue, WA",Tier III: Regulatory Assistance Grant,Advanced Fuel Qualification Methodology Report for TerraPower Traveling Wave Reactor,TerraPower LLC will develop an Advanced Fuel Qualification Methodology Report for TerraPower's Traveling Wave Reactor (TWR) fuel and to deliver the report to the NRC for review and approval. The Advanced Fuel Qualification Methodology Report will be developed for a metal-fueled sodium fast reactor. The processes and methodologies described will be generally applicable to other fuel types thereby helping the US industry address fuel qualification.,"$492,137 ","$492,138 ","$984,275 ",2019 - Round 3,Active,https://www.energy.gov/sites/prod/files/2019/12/f70/Terrapower_Summary-Abstract.pdf,47.61003,-122.18791,
XEnergy.jpg,X-Energy,"Rockville, MD",Tier I: First of a Kind Nuclear Demonstration Readiness Project,Advancement of High Temperature Gas Cooled Reactors for Grid-Scale Applications: Xe-100 Conceptual Design and Risk-Informed Licensing,"X-energy is developing a pebble bed, high-temperature gas-cooled reactor. The awarded project will specifically focus on cutting costs through underground construction, the use of pooled off-site resources and simplified passive safety systems that don 't rely on large local water sources or pumps to prevent fuel damage.","$3,468,323 ","$3,659,491 ","$7,127,814 ",2019 - Round 4,Active,https://www.energy.gov/sites/prod/files/2019/12/f70/XEnergy%20FY2019%20Summary%20Abstract%20FKD-19-19007.pdf,39.08197,-77.15119,
sodi.png,Southern Ohio Diversification Initiative,"Waverly, OH",Tier II: Advanced Reactor Development Project,Generic Design Support Activities for Advanced Reactors,"The Southern Ohio Diversification Initiative (SODI) assembled a team to start the process of characterization, permitting, and decontamination and decommissioning (D&D) studies to support advanced reactor technologies deployment at the Portsmouth Site. This work includes the development of an Early Site Permit (ESP) template that will envelope a broad range of advanced reactor technologies; enabling DOE to maintain its schedule of commercial demonstration of an advanced reactor by late 2020s.","$2,478,295 ","$2,478,294 ","$4,956,589 ",2020 - Round 1,Negotiating Award Terms,https://www.energy.gov/sites/prod/files/2020/05/f74/IND%20FOA%20FY2020_Summary-Abstract%20ARD-20-21547%20-%20SODI.pdf,39.131962,-83.012131,
southern_nuclear_development.png,"Southern Nuclear Development, LLC","Birmingham, AL ",Tier III: Regulatory Assistance Grant,Topical Report: Guidelines for Implementing Seismic Base Isolation in Advanced Nuclear Reactors to Reduce Risk and Overnight Capital Cost,"The primary objective of this project is to provide a pathway acceptable to and vetted by the USNRC that an applicant could follow to develop, document and qualify a seismic isolation system for an advanced reactor, proposed or future. The pathway will be presented in a Topical Report to be submitted to the USNRC for review. The Topical Report will be technology neutral with respect to both the reactor developer and the isolator type.","$350,000 ","$112,383 ","$462,383 ",2020 - Round 1,Negotiating Award Terms,https://www.energy.gov/sites/prod/files/2020/05/f74/IND%20FOA%20FY2020%20Summary-Abstract%20REG-20-21539%20Southern%20Nuclear%20Development%20Abstract.pdf,33.518589,-86.810356,
EPRI-INC.png,"Electric Power Research Institute, Inc.","Palo Alto, CA",Tier II: Advanced Reactor Development Project,Establishing Modular In-Chamber Electron Beam Welding (MIC-EBW) Phase II ,"Under this proposal the awardee will: <ul><li>Develop and establish MIC-EBW capability at a major U.S. fabricator.</li> <li>Reduce overall welding time by up to 90 percent compared to conventional welding technologies.</li> <li>Successfully demonstrate a 10-foot (3.05-meter) diameter, 4.375-inch (110-millimeter) thick vessel EB weld in less than 90 minutes of welding time (current state of the art is several weeks).</li> <li>Establish MIC-EBW capability to perform major reactor pressure vessel (RPV) girth welds for a NuScale Power design RPV.</li> <li>Develop manufacturing process plans based on technology and required post weld inspection/heat treatment.</li></ul>","$5,128,696 ","$1,363,325 ","$6,492,021 ",2020 - Round 2,Negotiating Award Terms,https://www.energy.gov/sites/prod/files/2020/10/f79/IND%20FOA%20FY20_Summary-Abstract_ARD-20-23621%20EPRI.pdf,37.444122,-122.149915,
Northern States Power Company Logo. Png,Northern States Power Company,"Minneapolis, MN",Tier II: Advanced Reactor Development Project,LWR Integrated Energy Systems Interface Technology Development & Demonstration,"Under this proposal the principal objective is to carry out planning, design, installation, testing, demonstration, and evaluation of non-electric, hybrid energy technologies connected to a light-water reactor (LWR) power plant. The expected result of this project is to have both a fully-functional hydrogen plant capable of operating as a hybrid system to test diverse electrolysis technologies coupled with a LWR and the design development for a hybrid reversible system. Both project deliverables are to be integrated into the normal operating routine of a nuclear power plant.","$11,014,135 ","$2,755,495 ","$13,769,630 ",2020 - Round 3,Negotiating Award Terms,https://www.energy.gov/sites/prod/files/2020/10/f79/IND%20FOA%20FY20__%20Summary-Abstract%20ARD-20-22098%20Northern%20States%20Power.pdf,44.977753,-93.265015,
FuelCell Energy Inc Logo.jpeg,"FuelCell Energy, Inc.","Danbury, CT",Tier II: Advanced Reactor Development Project,Solid Oxide Electrolysis Demonstration,"Under this proposal, FuelCell Energy Inc. is teaming with Idaho National Laboratory on a solid oxide electrolysis cell (SOEC) system demonstration and validation project to deliver a 250 kW SOEC turn-key sub-scale system with ultra-high efficiency and low cost. The system will be critically verified and validated through collaboration with INL such that it will be ready to integrate into the nuclear environment. These efforts will enable modular 200 to 500 MW SOEC utility scale systems to be available to the market and demonstrate how nuclear-hydrogen production operations can help nuclear plants diversify and increase their profitability by switching between electricity production and hydrogen generation.","$10,000,000 ","$2,500,000 ","$12,500,000 ",2020 - Round 3,Negotiating Award Terms,https://www.energy.gov/sites/prod/files/2020/10/f79/IND%20FOA%20FY2020%20Summary-Abstract%20ARD-20-23636%20-%20FuelCell.pdf,41.394817,-73.454010,
Structural Integrity Associates Logo.jpeg,"Structural Integrity Associates, Inc.","San Jose, CA",Tier III: Regulatory Assistance Grant,Evaluation of Metal Fuel for LWR using BISON,"Under this proposal, Structural Integrity Associates, Inc. will leverage the modeling and simulation capabilities developed from DOE NEAMS and Energy Innovation Hub for Modeling & Simulation (Hub). The BISON fuel performance code will be used for analytical simulation of metal fuel behavior in a LWR environment. New material and behavior models will be developed and implemented in BISON to provide the needed capabilities for performance evaluation of metal fuel. The models and general methodology will be documented in a detailed report.","$500,000 ","$125,000 ","$625,000 ",2020 - Round 3,Negotiating Award Terms,https://www.energy.gov/sites/prod/files/2020/10/f79/IND%20FOA%20FY20_Summary-Abstract%20REG-20-23853%20-%20Structural%20Integrity_0.pdf,37.338207,-121.886330,
